               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 155,            0.026236,            0.018541,           0.0012423,             0.90342,             0.88933,             0.94433,             0.63411,             0.02564,            0.010583,          0.00073072,            0.002377,            0.002377,            0.002377
                 156,            0.026071,            0.018222,           0.0011335,             0.90283,              0.8902,             0.94456,             0.63418,            0.025605,            0.010569,          0.00073049,           0.0023275,           0.0023275,           0.0023275
                 157,            0.025969,            0.018139,           0.0011226,             0.90334,             0.88982,             0.94442,             0.63495,            0.025571,            0.010555,          0.00072963,            0.002278,            0.002278,            0.002278
                 158,             0.02592,             0.01816,           0.0011154,             0.90515,             0.88921,             0.94472,             0.63594,             0.02554,            0.010541,          0.00072801,           0.0022285,           0.0022285,           0.0022285
                 159,            0.025835,            0.018098,           0.0010982,             0.90568,             0.88878,             0.94436,             0.63647,            0.025505,            0.010525,          0.00072624,            0.002179,            0.002179,            0.002179
                 160,            0.025897,            0.018097,           0.0011075,              0.9058,             0.88865,             0.94458,             0.63738,            0.025471,             0.01051,          0.00072557,           0.0021295,           0.0021295,           0.0021295
                 161,            0.025539,            0.018035,           0.0011514,             0.90699,             0.88878,             0.94477,              0.6384,            0.025435,            0.010496,          0.00072478,             0.00208,             0.00208,             0.00208
                 162,            0.025542,             0.01802,           0.0010324,             0.90673,             0.88912,             0.94503,             0.63875,            0.025403,            0.010481,          0.00072452,           0.0020305,           0.0020305,           0.0020305
                 163,            0.025503,            0.018026,           0.0011127,             0.90626,             0.88986,             0.94516,             0.63988,            0.025369,            0.010468,          0.00072376,            0.001981,            0.001981,            0.001981
                 164,            0.025465,            0.017806,           0.0011487,             0.90617,             0.89005,             0.94506,             0.64047,            0.025334,            0.010455,          0.00072181,           0.0019315,           0.0019315,           0.0019315
                 165,            0.025275,            0.017944,              0.0011,             0.90581,             0.89014,             0.94495,             0.64113,            0.025298,             0.01044,          0.00071884,            0.001882,            0.001882,            0.001882
                 166,            0.025267,            0.017877,            0.001074,             0.90859,             0.88959,             0.94518,             0.64154,            0.025263,            0.010425,          0.00071553,           0.0018325,           0.0018325,           0.0018325
                 167,            0.025183,            0.017766,           0.0010215,             0.90264,             0.89758,             0.94602,             0.64261,             0.02523,             0.01041,          0.00071225,            0.001783,            0.001783,            0.001783
                 168,            0.025138,            0.017854,           0.0011282,             0.90015,             0.89874,             0.94642,             0.64382,            0.025197,            0.010397,          0.00070866,           0.0017335,           0.0017335,           0.0017335
                 169,            0.024961,            0.017697,           0.0010335,             0.90188,             0.89824,             0.94708,             0.64476,            0.025162,            0.010383,          0.00070563,            0.001684,            0.001684,            0.001684
                 170,            0.025081,            0.017742,           0.0010246,             0.90119,             0.89828,             0.94713,             0.64543,            0.025127,            0.010369,          0.00070337,           0.0016345,           0.0016345,           0.0016345
                 171,            0.024887,            0.017747,           0.0011255,             0.90368,             0.89781,             0.94728,             0.64619,            0.025092,            0.010355,          0.00070083,            0.001585,            0.001585,            0.001585
                 172,            0.024867,            0.017685,          0.00096151,             0.90432,             0.89735,              0.9473,             0.64707,             0.02506,            0.010341,          0.00069806,           0.0015355,           0.0015355,           0.0015355
                 173,            0.024548,             0.01751,          0.00094394,             0.90471,              0.8981,             0.94754,             0.64787,            0.025026,            0.010327,          0.00069594,            0.001486,            0.001486,            0.001486
                 174,            0.024671,            0.017461,           0.0010378,             0.90565,              0.8981,             0.94756,             0.64827,            0.024994,            0.010314,          0.00069264,           0.0014365,           0.0014365,           0.0014365
                 175,            0.024287,            0.017483,           0.0010413,             0.90636,             0.89945,             0.94764,             0.64934,            0.024962,              0.0103,          0.00068948,            0.001387,            0.001387,            0.001387
                 176,            0.024433,            0.017424,          0.00093581,             0.90846,             0.89977,             0.94785,             0.64985,             0.02493,            0.010287,          0.00068704,           0.0013375,           0.0013375,           0.0013375
                 177,             0.02431,            0.017148,           0.0010064,             0.90923,             0.90135,             0.94872,             0.65095,            0.024895,            0.010273,          0.00068423,            0.001288,            0.001288,            0.001288
                 178,            0.024298,            0.017371,           0.0010318,             0.90798,               0.901,             0.94926,             0.65167,            0.024862,            0.010261,          0.00068278,           0.0012385,           0.0012385,           0.0012385
                 179,            0.024251,            0.017195,           0.0009361,             0.90802,             0.90203,             0.94981,             0.65285,             0.02483,            0.010248,          0.00068101,            0.001189,            0.001189,            0.001189
                 180,            0.024213,            0.017215,            0.001046,             0.90865,             0.90191,             0.94994,             0.65401,            0.024796,            0.010235,          0.00067931,           0.0011395,           0.0011395,           0.0011395
                 181,            0.024015,            0.017081,          0.00098942,             0.90955,             0.90161,             0.95019,             0.65495,            0.024762,            0.010222,          0.00067777,             0.00109,             0.00109,             0.00109
                 182,            0.023871,            0.017155,           0.0009964,             0.91032,             0.90193,             0.95043,             0.65575,            0.024731,             0.01021,          0.00067631,           0.0010405,           0.0010405,           0.0010405
                 183,            0.023744,            0.017033,           0.0010061,             0.90925,              0.9025,             0.95086,             0.65649,            0.024698,            0.010198,          0.00067534,            0.000991,            0.000991,            0.000991
                 184,            0.023774,            0.016957,          0.00096302,             0.91005,             0.90334,             0.95077,             0.65724,            0.024663,            0.010184,          0.00067373,           0.0009415,           0.0009415,           0.0009415
                 185,            0.023648,            0.016903,          0.00092434,              0.9091,             0.90353,              0.9509,             0.65784,            0.024629,            0.010171,          0.00067236,            0.000892,            0.000892,            0.000892
                 186,             0.02353,            0.016836,          0.00095665,              0.9113,             0.90352,             0.95137,             0.65851,            0.024596,            0.010158,          0.00067143,           0.0008425,           0.0008425,           0.0008425
                 187,            0.023535,             0.01675,           0.0010253,             0.91123,             0.90369,              0.9515,             0.65952,            0.024562,            0.010145,          0.00067081,            0.000793,            0.000793,            0.000793
                 188,            0.023444,            0.016776,          0.00089952,             0.91116,             0.90655,              0.9514,             0.66042,            0.024529,            0.010133,          0.00066975,           0.0007435,           0.0007435,           0.0007435
                 189,            0.023376,            0.016753,           0.0009571,             0.91115,               0.908,              0.9515,             0.66099,            0.024494,            0.010121,           0.0006684,            0.000694,            0.000694,            0.000694
                 190,            0.023175,            0.016867,          0.00095834,             0.91205,             0.90714,             0.95161,             0.66143,            0.024459,            0.010108,          0.00066725,           0.0006445,           0.0006445,           0.0006445
                 191,            0.023117,            0.016627,          0.00090634,              0.9112,             0.90616,             0.95172,             0.66205,            0.024425,            0.010095,          0.00066573,            0.000595,            0.000595,            0.000595
                 192,             0.02312,            0.016775,          0.00086948,             0.91507,             0.90471,             0.95164,              0.6623,            0.024393,            0.010082,          0.00066397,           0.0005455,           0.0005455,           0.0005455
                 193,            0.022936,            0.016617,          0.00093262,             0.91471,             0.90584,             0.95215,             0.66287,            0.024361,             0.01007,          0.00066251,            0.000496,            0.000496,            0.000496
                 194,            0.023006,            0.016547,          0.00090545,             0.91682,             0.90503,             0.95243,             0.66431,             0.02433,            0.010059,          0.00066137,           0.0004465,           0.0004465,           0.0004465
                 195,            0.022953,            0.016548,          0.00091676,             0.91786,             0.90563,             0.95268,             0.66504,            0.024299,            0.010047,          0.00066034,            0.000397,            0.000397,            0.000397
                 196,             0.02276,             0.01644,          0.00085946,             0.91617,             0.90744,             0.95282,             0.66552,            0.024269,            0.010036,          0.00065961,           0.0003475,           0.0003475,           0.0003475
                 197,            0.022735,            0.016404,          0.00087861,             0.91522,             0.90807,             0.95326,             0.66637,            0.024239,            0.010025,           0.0006595,            0.000298,            0.000298,            0.000298
                 198,            0.022509,            0.016346,          0.00090179,             0.91523,             0.90885,             0.95336,             0.66728,             0.02421,            0.010014,          0.00065926,           0.0002485,           0.0002485,           0.0002485
                 199,            0.022545,            0.016338,          0.00084494,             0.91654,             0.90882,              0.9534,             0.66816,            0.024181,            0.010003,            0.000659,            0.000199,            0.000199,            0.000199
